Date,Weekday,Time,Home Team,Away Team,Home Team Goals,Away Team Goals,Venue,Referee
2017-04-21,Fri,18:00 ,Dukla Prague,Vysočina Jihlava,4,1,Stadion Juliska,Jan Jilek
2017-04-21,Fri,20:15 ,Slovácko,Slavia Prague,0,2,Městský fotbalový stadion Miroslava Vale...,Pavel Královec
2017-04-22,Sat,17:00 ,Hradec Králové,Slovan Liberec,0,1,Všesportovní stadion,Radek Příhoda
2017-04-22,Sat,17:00 ,Zbrojovka Brno,Mladá Boleslav,2,3,Městský fotbalový stadion Srbská,Petr Ardeleánu
2017-04-22,Sat,17:30 ,Bohemians 1905,Fastav Zlín,0,2,Stadion Ďolíček,Ondřej Pechanec
2017-04-23,Sun,13:15 ,Jablonec,Příbram,2,4,Stadion Střelnice,Paval Julínek
2017-04-23,Sun,17:30 ,Sparta Prague,Viktoria Plzeň,2,0,Generali Arena,Miroslav Zelinka
2017-04-28,Fri,18:00 ,Vysočina Jihlava,Zbrojovka Brno,3,0,Stadion v Jiráskově ulici,Pavel Orel
2017-04-28,Fri,20:15 ,Příbram,Sparta Prague,1,2,Energon Aréna,Zbyněk Proske
2017-04-29,Sat,17:00 ,Fastav Zlín,Mladá Boleslav,1,2,Stadion Letná,Emanuel Marek
2017-04-29,Sat,20:15 ,Viktoria Plzeň,Dukla Prague,2,0,Doosan Arena,Pavel Franek
2017-04-30,Sun,17:00 ,Karviná,Hradec Králové,4,2,Městský stadion,Jiří Houdek
2017-04-30,Sun,17:30 ,Slavia Prague,Jablonec,1,1,Sinobo Stadium,Miroslav Zelinka
2017-05-01,Mon,17:30 ,Slovan Liberec,Bohemians 1905,4,1,Stadion u Nisy,Karel Hrubes
2017-05-05,Fri,18:00 ,Dukla Prague,Příbram,3,1,Stadion Juliska,Emanuel Marek
2017-05-06,Sat,14:00 ,Jablonec,Viktoria Plzeň,2,2,Stadion Střelnice,Jan Jilek
2017-05-06,Sat,19:00 ,Bohemians 1905,Slavia Prague,1,3,Stadion Ďolíček,Pavel Orel
2017-05-06,Sat,19:00 ,Slovácko,Karviná,1,1,Městský fotbalový stadion Miroslava Vale...,Zbyněk Proske
2017-05-07,Sun,17:00 ,Sparta Prague,Slovan Liberec,1,0,Generali Arena,J. Machálek
2017-05-07,Sun,17:00 ,Zbrojovka Brno,Fastav Zlín,2,0,Městský fotbalový stadion Srbská,Karel Hrubes
2017-05-07,Sun,17:00 ,Hradec Králové,Teplice,0,2,Všesportovní stadion,Miroslav Zelinka
2017-05-07,Sun,19:00 ,Mladá Boleslav,Vysočina Jihlava,3,1,Adidas Aréna,Pavel Franek
2017-05-12,Fri,18:15 ,Viktoria Plzeň,Mladá Boleslav,3,3,Doosan Arena,Zbyněk Proske
2017-05-12,Fri,20:15 ,Karviná,Sparta Prague,1,1,Městský stadion,Paval Julínek
2017-05-13,Sat,15:00 ,Příbram,Zbrojovka Brno,2,3,Energon Aréna,Pavel Franek
2017-05-13,Sat,16:30 ,Slovan Liberec,Jablonec,1,1,Stadion u Nisy,Pavel Orel
2017-05-13,Sat,17:00 ,Hradec Králové,Slovácko,2,1,Všesportovní stadion,Emanuel Marek
2017-05-13,Sat,17:00 ,Fastav Zlín,Vysočina Jihlava,0,3,Stadion Letná,Miroslav Zelinka
2017-05-13,Sat,18:45 ,Slavia Prague,Dukla Prague,2,2,Sinobo Stadium,Radek Příhoda
2017-05-20,Sat,17:00 ,Vysočina Jihlava,Příbram,1,1,Stadion v Jiráskově ulici,Radek Příhoda
2017-05-20,Sat,17:00 ,Zbrojovka Brno,Viktoria Plzeň,0,1,Městský fotbalový stadion Srbská,Pavel Orel
2017-05-20,Sat,17:00 ,Slovácko,Slovan Liberec,0,1,Městský fotbalový stadion Miroslava Vale...,Paval Julínek
2017-05-20,Sat,17:00 ,Sparta Prague,Hradec Králové,3,2,Generali Arena,Jan Jilek
2017-05-20,Sat,17:00 ,Dukla Prague,Fastav Zlín,1,0,Stadion Juliska,Martin Nenadál
2017-05-20,Sat,17:00 ,Mladá Boleslav,Slavia Prague,1,2,Adidas Aréna,Miroslav Zelinka
2017-05-20,Sat,17:00 ,Bohemians 1905,Karviná,2,0,Stadion Ďolíček,Pavel Franek
2017-05-27,Sat,17:00 ,Karviná,Jablonec,0,2,Městský stadion,Martin Nenadál
2017-05-27,Sat,17:00 ,Slovan Liberec,Mladá Boleslav,4,0,Stadion u Nisy,Emanuel Marek
2017-05-27,Sat,17:00 ,Hradec Králové,Bohemians 1905,1,0,Všesportovní stadion,Radek Matějek
2017-05-27,Sat,17:00 ,Slovácko,Sparta Prague,1,1,Městský fotbalový stadion Miroslava Vale...,Ondřej Ginzel
2017-05-27,Sat,17:00 ,Příbram,Fastav Zlín,0,2,Energon Aréna,J. Machálek
2017-05-27,Sat,17:00 ,Slavia Prague,Zbrojovka Brno,4,0,Sinobo Stadium,Zbyněk Proske
2017-05-27,Sat,17:00 ,Viktoria Plzeň,Vysočina Jihlava,2,0,Doosan Arena,Miroslav Zelinka
2017-07-28,Fri,18:00 ,Zbrojovka Brno,Baník Ostrava,1,3,Městský fotbalový stadion Srbská,Zbyněk Proske
2017-07-29,Sat,17:00 ,Karviná,Vysočina Jihlava,2,0,Městský stadion,Pavel Franek
2017-07-29,Sat,17:00 ,Viktoria Plzeň,Dukla Prague,4,0,Doosan Arena,Radek Příhoda
2017-07-29,Sat,17:00 ,Slovácko,Jablonec,1,1,Městský fotbalový stadion Miroslava Vale...,Jan Jilek
2017-07-30,Sun,17:00 ,Slovan Liberec,Fastav Zlín,1,0,Stadion u Nisy,Karel Hrubes
2017-07-30,Sun,17:00 ,Mladá Boleslav,Sigma Olomouc,1,2,Adidas Aréna,Miroslav Zelinka
2017-07-30,Sun,19:00 ,Sparta Prague,Bohemians 1905,1,1,Generali Arena,Paval Julínek
2017-08-05,Sat,17:00 ,Sigma Olomouc,Slovan Liberec,2,1,Andrův stadion,Paval Julínek
