player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Tomáš Malinský,cz CZE,FW,Slavia Prague,29-141,1991,4,1,105,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aleš Mandous,cz CZE,GK,Sigma Olomouc,28-267,1992,13,13,"1,170",0,1,0,0,0,0,0.00,0.08,0.08,0.00,0.08
Kamso Mara,gn GUI,MF,Slovan Liberec,26-020,1994,11,10,846,2,2,2,3,0,0,0.21,0.21,0.43,0.00,0.21
Daniel Mareček,cz CZE,MF,Slovácko,22-228,1998,3,0,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lukáš Mareček,cz CZE,MF,Teplice,30-271,1990,9,9,704,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jakub Mareš,cz CZE,"FW,MF",Teplice,33-353,1987,14,12,"1,128",5,2,1,1,2,0,0.40,0.16,0.56,0.32,0.48
Petr Mareš,cz CZE,DF,Mladá Boleslav,29-362,1991,2,2,159,0,1,0,0,1,0,0.00,0.57,0.57,0.00,0.57
Jakub Markovič,cz CZE,GK,Mladá Boleslav,19-184,2001,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Martinec,cz CZE,MF,Jablonec,22-306,1998,14,14,"1,260",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Dominik Mašek,cz CZE,FW,Mladá Boleslav,25-187,1995,7,4,400,2,0,0,0,1,0,0.45,0.00,0.45,0.45,0.45
Lukáš Mašek,cz CZE,MF,Mladá Boleslav,16-250,2004,3,1,63,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lukáš Masopust,cz CZE,MF,Slavia Prague,27-336,1993,12,9,790,1,3,0,0,4,0,0.11,0.34,0.46,0.11,0.46
Lukáš Matějka,cz CZE,FW,České Budĕjov.,23-024,1997,7,5,419,1,0,0,0,1,0,0.21,0.00,0.21,0.21,0.21
Róbert Matejov,sk SVK,"DF,MF",Fastav Zlín,32-192,1988,4,3,265,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Matoušek,cz CZE,MF,Slovan Liberec,22-249,1998,12,9,682,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Róbert Mazáň,sk SVK,"DF,MF",Mladá Boleslav,26-339,1994,12,12,"1,067",0,1,0,0,3,0,0.00,0.08,0.08,0.00,0.08
Ondřej Mazuch,cz CZE,DF,Mladá Boleslav,31-304,1989,2,2,121,0,1,0,0,1,0,0.00,0.74,0.74,0.00,0.74
Martin Melichar,cz CZE,GK,Příbram,20-191,2000,6,6,540,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
José Mena Rodríguez,es ESP,MF,Baník Ostrava,22-243,1998,2,1,121,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Karol Mészáros,sk SVK,"FW,MF",České Budĕjov.,27-172,1993,8,5,470,2,1,0,0,0,0,0.38,0.19,0.57,0.38,0.57
Ondřej Mihálik,cz CZE,FW,Viktoria Plzeň,23-286,1997,4,2,178,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jan Mikula,cz CZE,DF,Slovan Liberec,29-008,1992,11,11,990,0,1,0,0,0,0,0.00,0.09,0.09,0.00,0.09
Petr Mikulec,cz CZE,GK,Mladá Boleslav,21-283,1999,13,13,"1,170",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Rajmund Mikuš,sk SVK,MF,Karviná,25-045,1995,11,5,555,1,0,0,0,0,0,0.16,0.00,0.16,0.16,0.16
Martin Minchev,bg BUL,MF,Sparta Prague,19-266,2001,5,0,72,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
David Moberg Karlsson,se SWE,"FW,MF",Sparta Prague,26-299,1994,9,4,413,1,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44
Karol Mondek,sk SVK,MF,Opava,29-225,1991,10,10,767,2,0,0,0,3,0,0.23,0.00,0.23,0.23,0.23
Jan Moravec,cz CZE,MF,Zbrojovka Brno,33-184,1987,8,8,652,0,1,0,0,1,0,0.00,0.14,0.14,0.00,0.14
Ubong Moses Ekpai,ng NGA,MF,České Budĕjov.,25-088,1995,4,2,123,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jhon Mosquera,co COL,MF,Slovan Liberec,30-250,1990,11,9,754,4,0,0,0,5,0,0.48,0.00,0.48,0.48,0.48
Pavel Moulis,cz CZE,FW,Teplice,29-281,1991,13,12,"1,041",1,2,0,0,1,0,0.09,0.17,0.26,0.09,0.26
Martins Mpondo,fr FRA,FW,Fastav Zlín,24-306,1996,3,0,12,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Matej Mršić,hr CRO,MF,České Budĕjov.,27-000,1994,13,5,530,0,1,0,0,0,0,0.00,0.17,0.17,0.00,0.17
Radovan Murin,cz CZE,GK,Baník Ostrava,21-224,1999,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Petar Musa,hr CRO,FW,Slavia Prague,22-315,1998,10,4,399,3,0,0,0,2,0,0.68,0.00,0.68,0.68,0.68
Jan Navrátil,cz CZE,"FW,MF",Slovácko,30-275,1990,12,9,862,1,2,0,0,3,0,0.10,0.21,0.31,0.10,0.31
Yevgeni Nazarov,ru RUS,DF,Teplice,23-281,1997,2,2,103,1,0,0,0,1,0,0.87,0.00,0.87,0.87,0.87
Gigli Ndefe,nl NED,"DF,MF",Karviná,26-317,1994,14,14,"1,232",0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07
Jakub Nečas,cz CZE,FW,Bohemians 1905,25-353,1995,10,0,184,0,1,0,0,0,0,0.00,0.49,0.49,0.00,0.49
Tomáš Necid,cz CZE,FW,Bohemians 1905,31-153,1989,7,5,438,1,1,0,0,2,1,0.21,0.21,0.41,0.21,0.41
Luděk Němeček,cz CZE,GK,Teplice,22-009,1999,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vít Nemrava,cz CZE,GK,Slovácko,25-004,1996,7,7,630,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Aleš Nešický,cz CZE,MF,Slovan Liberec,28-226,1992,5,2,224,0,1,0,0,1,0,0.00,0.40,0.40,0.00,0.40
Martin Nešpor,cz CZE,FW,Sigma Olomouc,30-222,1990,14,11,970,3,2,2,2,3,0,0.28,0.19,0.46,0.09,0.28
